date,close,open,high,low,volume,company,daily_return,ma_20,ma_50,volatility,normalized_close
2024-08-05,161.02,154.21,162.96,151.61,83149437.0,Amazon,,,,,1.0
2024-08-06,161.93,161.71,165.08,158.54,59950830.0,Amazon,0.0056514718668487784,,,,1.0056514718668488
2024-08-07,162.77,166.55,167.58,161.43,48408240.0,Amazon,0.005187426665843375,,,,1.0108682151285555
2024-08-08,165.8,165.17,166.69,162.55,44616206.0,Amazon,0.018615223935614766,,,,1.0296857533225687
2024-08-09,166.94,166.4,168.55,165.85,36401049.0,Amazon,0.006875753920385863,,,,1.036765619177742
2024-08-12,166.8,168.14,168.55,166.11,30072800.0,Amazon,-0.0008386246555648347,,,,1.0358961619674574
2024-08-13,170.23,167.81,171.04,167.1,39237915.0,Amazon,0.02056354916067127,,,,1.0571978636194261
2024-08-14,170.1,172.11,172.28,168.86,28843804.0,Amazon,-0.0007636726781412584,,,,1.0563905104955904
2024-08-15,177.59,174.86,177.91,173.99,51698513.0,Amazon,0.04403292181069962,,,,1.1029064712458079
2024-08-16,177.06,177.04,178.34,176.26,31489200.0,Amazon,-0.00298440227490282,,,,1.0996149546640168
2024-08-19,178.22,177.64,178.3,176.16,31129807.0,Amazon,0.006551451485372173,,,,1.1068190286920878
2024-08-20,178.88,177.92,179.01,177.43,26255204.0,Amazon,0.0037032880709235716,,,,1.1109178983977144
2024-08-21,180.11,179.92,182.39,178.89,35599120.0,Amazon,0.006876118067978609,,,,1.1185567010309279
2024-08-22,176.13,181.38,181.47,175.68,32047500.0,Amazon,-0.022097607017933618,,,,1.0938392746242702
2024-08-23,177.04,177.34,178.97,175.24,29150100.0,Amazon,0.005166638278544244,,,,1.099490746491119
2024-08-26,175.5,176.7,177.47,174.3,22366236.0,Amazon,-0.008698599186624412,,,,1.0899267171779903
2024-08-27,173.12,174.15,174.89,172.25,29842000.0,Amazon,-0.013561253561253483,,,,1.0751459446031548
2024-08-28,170.8,173.69,173.69,168.92,29045025.0,Amazon,-0.013401109057301297,,,,1.0607377965470128
2024-08-29,172.12,173.22,174.29,170.81,26407815.0,Amazon,0.007728337236533989,,,,1.068935535958266
2024-08-30,178.5,172.78,178.9,172.6,43429400.0,Amazon,0.03706716244480601,172.033,,,1.1085579431126567
2024-09-03,176.25,177.55,178.26,175.26,37817511.0,Amazon,-0.012605042016806678,172.7945,,0.016290418160362946,1.094584523661657
2024-09-04,173.33,174.48,175.98,172.54,30309225.0,Amazon,-0.016567375886524793,173.36450000000002,,0.016962528934214124,1.0764501304185816
2024-09-05,177.89,175.0,179.88,175.0,40170526.0,Amazon,0.026308198234581193,174.12050000000002,,0.017711261451160643,1.1047695938392745
2024-09-06,171.39,177.24,178.38,171.16,41466537.0,Amazon,-0.03653943448198327,174.4,,0.019606458955144568,1.0644019376474971
2024-09-09,175.4,174.53,175.85,173.51,29037400.0,Amazon,0.023396930976136376,174.823,,0.020169700422318085,1.0893056763135014
2024-09-10,179.55,177.49,180.5,176.79,36233800.0,Amazon,0.023660205245153998,175.4605,,0.02068299746981147,1.1150788721897902
2024-09-11,184.52,180.1,184.99,175.73,42564700.0,Amazon,0.027680311890838194,176.175,,0.021043007024150122,1.1459446031548877
2024-09-12,187.0,184.8,187.41,183.54,33622500.0,Amazon,0.013440277476696183,177.02,,0.021104574319203092,1.1613464165942118
2024-09-13,186.49,187.0,188.5,185.91,26495400.0,Amazon,-0.0027272727272726893,177.465,,0.019036712805427087,1.1581791081853186
2024-09-16,184.89,185.29,185.81,183.36,26065500.0,Amazon,-0.008579548501260192,177.85649999999998,,0.019164091634768936,1.1482424543534964
2024-09-17,186.88,186.85,189.45,186.14,26091700.0,Amazon,0.010763156471415458,178.2895,,0.019235810036743396,1.160601167556825
2024-09-18,186.43,186.45,188.8,185.06,34448130.0,Amazon,-0.002407962328767055,178.667,,0.019265053572233112,1.1578064836666253
2024-09-19,189.87,190.04,190.99,188.47,39543200.0,Amazon,0.018451965885318833,179.15500000000003,,0.019582779091838438,1.1791702894050429
2024-09-20,191.6,190.23,191.84,187.41,100378600.0,Amazon,0.00911149734028549,179.9285,,0.018716684823879892,1.1899142963607003
2024-09-23,193.88,191.64,194.45,190.57,36993111.0,Amazon,0.011899791231732681,180.77050000000003,,0.018791899967352404,1.204074028071047
2024-09-24,193.96,194.27,195.37,190.13,43478926.0,Amazon,0.0004126263668249308,181.69350000000003,,0.018558442662524557,1.2045708607626382
2024-09-25,192.53,193.75,193.95,192.16,26391144.0,Amazon,-0.007372654155496039,182.664,,0.018279067846713962,1.1956899764004472
2024-09-26,191.16,194.31,194.53,189.54,36334900.0,Amazon,-0.007115774165065258,183.68200000000002,,0.017988985838758926,1.1871817165569494
2024-09-27,187.97,190.68,190.9,187.34,36002316.0,Amazon,-0.01668759154634858,184.4745,,0.018666953920768857,1.167370512979754
2024-09-30,186.33,187.14,188.49,184.65,41680400.0,Amazon,-0.00872479651008129,184.866,,0.017225068462042175,1.1571854428021364
2024-10-01,185.13,184.9,186.19,183.45,36044906.0,Amazon,-0.006440186765416245,185.31,,0.0169981606357415,1.1497329524282698
2024-10-02,184.76,184.44,186.6,184.04,23704100.0,Amazon,-0.001998595581483298,185.8815,,0.01643650139000075,1.1474351012296609
