date,close,open,high,low,volume
2024-08-05,161.02,154.21,162.96,151.61,83149437.0
2024-08-06,161.93,161.71,165.08,158.54,59950830.0
2024-08-07,162.77,166.55,167.58,161.43,48408240.0
2024-08-08,165.8,165.17,166.69,162.55,44616206.0
2024-08-09,166.94,166.4,168.55,165.85,36401049.0
2024-08-12,166.8,168.14,168.55,166.11,30072800.0
2024-08-13,170.23,167.81,171.04,167.1,39237915.0
2024-08-14,170.1,172.11,172.28,168.86,28843804.0
2024-08-15,177.59,174.86,177.91,173.99,51698513.0
2024-08-16,177.06,177.04,178.34,176.26,31489200.0
2024-08-19,178.22,177.64,178.3,176.16,31129807.0
2024-08-20,178.88,177.92,179.01,177.43,26255204.0
2024-08-21,180.11,179.92,182.39,178.89,35599120.0
2024-08-22,176.13,181.38,181.47,175.68,32047500.0
2024-08-23,177.04,177.34,178.97,175.24,29150100.0
2024-08-26,175.5,176.7,177.47,174.3,22366236.0
2024-08-27,173.12,174.15,174.89,172.25,29842000.0
2024-08-28,170.8,173.69,173.69,168.92,29045025.0
2024-08-29,172.12,173.22,174.29,170.81,26407815.0
2024-08-30,178.5,172.78,178.9,172.6,43429400.0
2024-09-03,176.25,177.55,178.26,175.26,37817511.0
2024-09-04,173.33,174.48,175.98,172.54,30309225.0
2024-09-05,177.89,175.0,179.88,175.0,40170526.0
2024-09-06,171.39,177.24,178.38,171.16,41466537.0
2024-09-09,175.4,174.53,175.85,173.51,29037400.0
2024-09-10,179.55,177.49,180.5,176.79,36233800.0
2024-09-11,184.52,180.1,184.99,175.73,42564700.0
2024-09-12,187.0,184.8,187.41,183.54,33622500.0
2024-09-13,186.49,187.0,188.5,185.91,26495400.0
2024-09-16,184.89,185.29,185.81,183.36,26065500.0
2024-09-17,186.88,186.85,189.45,186.14,26091700.0
2024-09-18,186.43,186.45,188.8,185.06,34448130.0
2024-09-19,189.87,190.04,190.99,188.47,39543200.0
2024-09-20,191.6,190.23,191.84,187.41,100378600.0
2024-09-23,193.88,191.64,194.45,190.57,36993111.0
2024-09-24,193.96,194.27,195.37,190.13,43478926.0
2024-09-25,192.53,193.75,193.95,192.16,26391144.0
2024-09-26,191.16,194.31,194.53,189.54,36334900.0
2024-09-27,187.97,190.68,190.9,187.34,36002316.0
2024-09-30,186.33,187.14,188.49,184.65,41680400.0
2024-10-01,185.13,184.9,186.19,183.45,36044906.0
2024-10-02,184.76,184.44,186.6,184.04,23704100.0
2024-10-03,181.96,183.05,183.44,180.88,30204302.0
2024-10-04,186.51,185.75,187.6,183.6,41079011.0
2024-10-07,180.8,182.95,183.6,180.25,42364201.0
2024-10-08,182.72,181.92,183.09,180.92,26372100.0
2024-10-09,185.17,182.82,185.85,182.05,26343117.0
2024-10-10,186.65,187.13,188.13,185.83,27785043.0
2024-10-11,188.82,186.63,189.93,186.3,25751600.0
2024-10-14,187.54,189.78,189.83,187.36,22614407.0
2024-10-15,187.69,187.63,188.41,184.58,32178925.0
2024-10-16,186.89,187.05,187.78,185.61,23456812.0
2024-10-17,187.53,188.22,188.94,186.0,25039414.0
2024-10-18,188.99,187.15,190.74,186.28,37417700.0
2024-10-21,189.07,188.05,189.46,186.4,24639400.0
2024-10-22,189.7,188.35,191.52,186.98,29650600.0
2024-10-23,184.71,188.85,189.16,183.69,31937100.0
2024-10-24,186.38,185.25,187.11,183.86,21647400.0
2024-10-25,187.83,187.85,190.45,187.53,29362100.0
2024-10-28,188.39,189.57,190.21,188.21,27930836.0
2024-10-29,190.83,188.58,191.46,187.82,35690200.0
2024-10-30,192.73,194.7,195.61,192.42,37707600.0
2024-10-31,186.4,190.51,190.6,185.23,75146800.0
2024-11-01,197.93,199.0,200.5,197.02,99687847.0
2024-11-04,195.78,196.45,197.33,194.31,38492100.0
2024-11-05,199.5,196.04,199.82,195.99,30564800.0
2024-11-06,207.09,200.01,207.55,199.14,72292200.0
2024-11-07,210.05,207.44,212.25,207.19,52878400.0
2024-11-08,208.18,209.72,209.96,207.44,36075846.0
2024-11-11,206.84,208.5,209.65,205.59,35456012.0
2024-11-12,208.91,208.37,209.54,206.01,38942918.0
2024-11-13,214.1,209.4,215.09,209.14,46212943.0
2024-11-14,211.48,214.16,215.9,210.88,42620309.0
2024-11-15,202.61,206.76,207.34,199.61,86591144.0
2024-11-18,201.7,204.15,204.67,200.95,36512500.0
2024-11-19,204.61,199.33,205.3,198.78,31197900.0
2024-11-20,202.88,202.98,203.13,199.45,32769000.0
2024-11-21,198.38,203.49,203.49,195.75,58800042.0
2024-11-22,197.12,198.25,199.26,196.75,31530844.0
2024-11-25,201.45,199.28,201.95,199.0,40685700.0
2024-11-26,207.86,201.9,208.0,201.79,41673737.0
2024-11-27,205.74,206.98,207.64,205.05,28061638.0
2024-11-29,207.89,205.83,208.2,204.59,24892447.0
2024-12-02,210.71,209.96,212.99,209.51,39523200.0
2024-12-03,213.44,210.31,214.02,209.65,32214828.0
